"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","year","address","lat","long"
8461,2018-05-25,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11375",2018,"11375 Queens New York, USA",40.7194096215148,-73.8478887929016
8462,2018-05-25,"DOG","Pit Bull","1","M",FALSE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8463,2018-05-25,"DOG","POODLE / SHIH TZU MIX","5","M",TRUE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8464,2018-05-28,"DOG","Pit Bull","2","F",FALSE,"Queens","11368",2018,"11368 Queens New York, USA",40.7480741704868,-73.8606222545723
8466,2018-05-21,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11435",2018,"11435 Queens New York, USA",40.6996080388092,-73.8084170501024
8468,2018-05-26,"DOG","WESTIE / YORKIE / CHIHUAHUA MIX","8","M",TRUE,"Queens","11370",2018,"11370 Queens New York, USA",40.762401252728,-73.8905472694333
8469,2018-05-28,"DOG","MIXED BREED",NA,"U",FALSE,"Queens","11374",2018,"11374 Queens New York, USA",40.7249687243842,-73.861909095793
8470,2018-05-25,"DOG","MIXED BREED","3","M",FALSE,"Queens","11105",2018,"11105 Queens New York, USA",40.7756948222476,-73.9094551349209
8472,2018-05-11,"DOG","Chihuahua","8","M",TRUE,"Queens","11691",2018,"11691 Queens New York, USA",40.6015466168774,-73.7576690296824
8473,2018-05-25,"DOG","American Pit Bull Terrier/Pit Bull","4","M",FALSE,"Queens","11435",2018,"11435 Queens New York, USA",40.6996080388092,-73.8084170501024
8474,2018-05-26,"DOG","SHEPHERD / HUSKY MIX","1","M",FALSE,"Queens","11427",2018,"11427 Queens New York, USA",40.7282255826938,-73.7486433246426
8475,2018-05-07,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11367",2018,"11367 Queens New York, USA",40.7287981351193,-73.8210548240082
8476,2018-05-25,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11691",2018,"11691 Queens New York, USA",40.6015466168774,-73.7576690296824
8478,2018-05-28,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11433",2018,"11433 Queens New York, USA",40.6972484621724,-73.7869127277119
8479,2018-05-29,"DOG","American Eskimo","5","M",TRUE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8481,2018-05-29,"DOG","Shih Tzu","10","M",TRUE,"Queens","11377",2018,"11377 Queens New York, USA",40.7448179286266,-73.9043849878731
8482,2018-06-02,"DOG","Pit Bull","3","M",FALSE,"Queens","11102",2018,"11102 Queens New York, USA",40.7710393296501,-73.9246945409761
8483,2018-06-02,"DOG","Wheaton Terrier","2","M",FALSE,"Queens","11385",2018,"11385 Queens New York, USA",40.7039098646973,-73.8925728272779
8484,2018-06-02,"DOG","Pomeranian","8M","M",FALSE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8485,2018-06-03,"DOG","Poodle, Standard","13","M",TRUE,"Queens","11370",2018,"11370 Queens New York, USA",40.762401252728,-73.8905472694333
8486,2018-06-02,"DOG","American Eskimo","12","M",TRUE,"Queens","11373",2018,"11373 Queens New York, USA",40.7397822779623,-73.8785793906172
8487,2018-06-01,"DOG","MIXED BREED","7","M",FALSE,"Queens","11422",2018,"11422 Queens New York, USA",40.6635696501494,-73.7355811005432
